NCR,Date Issued,Part #,Lot #,Date Code,Originator,Issued To,Number of failures
0,1,2,3,4,5,6,7
3670,12/18/12,LM1536J/883,7589-112812,1242,J. Bainter,PC,4
3939,10/17/13,D2716,8878-091213,9641,P. Lora,Test Flr,4
3940,10/17/13,D2716,8718-092713,9641,P. Lora,Test Flr,14
3974,12/11/13,MD2716M/B,9119-110413,9627,C. Walke,Test Flr,198
3987,12/31/13,MD2716M/B,8912-111313-1,9548,L. Quinn,Quality,1
4012,02/11/14,MD2716M/B,8922-020714,9623,K. Maguire,Quality,
4021,02/27/14,MD2716M/B,9119-021914,9627,K. Maguire,PC,
4022,02/27/14,MD2716M/B,8916-021914,9548,K. Maguire,PC,
4030,03/06/14,MM74C922WM,7117-030514,1231,P. Lora,Test Flr,1
4047,03/18/14,HI4-0549/883,9155-030614,1351,L. Quinn,PC,7
4068,04/25/14,HI4-0549/883,9155-032714,1351,L. Quinn,PC,3
4091,06/11/14,MD80C287-10/B,A-9509-053014,1419,M. F. Clohecy,Test Flr,1
4108,07/18/14,96L02FM/B,9606-051614,1424,L. Quinn,PC,530
4119,07/28/14,UC3633N,9820-062314,1430,L. Quinn,Quality,4114
4125,08/05/14,27S03,"Lots J,K,L,P,Q,R",,K. Maguire,Quality,27
4126,08/05/14,L161,"Lots M,N,O,S,T,U,G,H,I",,K. Maguire,Quality,27
4128,08/06/14,SFAC R1606 L1A8413,C7500202,,J. Chapin,Assembly,74
4131,08/13/14,LM212H,9689-081114,1422,P. Lora,Test Flr,4
4135,08/18/14,27S03,"Lots UU, VV, YY",,K. Maguire,Quality,6
4136,08/18/14,27S03,"Lots BBB, GGG",,K. Maguire,Quality,4
4140,08/21/14,LM110H/883,9703-080514,1411,D. Morse,Quality,1
4156,09/17/14,LMX2305WG/B,9780-0819-14,1431,R. Gillooly,Burn In,640
4162,09/25/14,54F109/BEA (M38510/34102BEA),7278-110612,N/A,P. Lora,Test Eng,1
4163,09/25/14,54F138/BEA (M38510/33701BEA),7279-110612,N/A,P. Lora,Test Eng,1
4164,09/25/14,54F86/BCA (M38510/34501BCA),7774-111512,N/A,P. Lora,Test Eng,1
4183,10/27/14,MD82C59A/B,9474-100614,1426,P. Lora,Test Flr,435
4193,11/07/14,AM7969-125JC (Qual),10107-093014,1437A,P. Lora,Test Flr,15
4194,11/07/14,AM7969-125JC (Qual),10107-093014-1,1437B,P. Lora,Test Flr,4
4198,11/12/14,LM112H/B,9688-110414,1422,P. Lora,Test Flr,13
4210,11/26/14,ONSMR2535LRLG,10444-112114,0830,K. Maguire,Quality,11
4216,12/12/14,54AC32/Q2A (5962-87614012A),7462-121214-1,1241,P. Lora,Test Flr,1
4225,12/31/14,HM4-6504S-8/B,G-9660-061614,1422,P. Lora,Test Flr,6
4226,01/01/15,NSC54676LMQB,9737-111414,8734,D. Morse,Quality,4
4227,01/05/15,HM4-6504S-8/B,H-9960-061614,1422,S. Johnson,Test Flr,1
4234,01/13/15,54AC240/SSA-R Level S,B-9916-102414,1437,P. Lora,Test Flr,65
4264,02/11/15,MC68020EH16E-G,A-10527-020615,1503,P. Lora,Test Flr,3
4273,02/24/15,HM4-65162B/B,B-10018-123114,1449,P. Lora,Test Flr,10
4295,03/16/15,HM4-6504S-8_B,I-9660-061614,1422,P. Lora,Test Flr,9
4305,04/03/15,DP8572AMD/B,10388-032715-1,1503,P. Hewlett,Quality,15
4307,04/06/15,AM486DX5-133V16BHC,10414-032815-1,1503,S. Colby,Burn In,1
4321,04/21/15,MC68HC711E9FNE3-G,B-10713-040615,1505,C. Walke,Test Flr,2 
4322,04/21/15,MC68HC711E9FNE3-G,A-10713-040115,1505,C. Walke,Test Flr,1
4324,04/21/15,MD8155H/B,A-10637-040215,1512,P. Lora,Test Flr,1
4325,04/22/15,AM79C970AVC\W,10372-011415-10373,1502,C. Walke,Test Flr,3
4326,04/22/15,DP8572AMD/B,10388-032815,1503,L. Quinn,Quality,1
4329,04/23/15,SN74LVC1G3157DBVR,00857 Camstar,1040+5,K. Maguire,Quality,2
4333,04/28/15,MC68HC711E9CFNE3-G,10496-030215,1505,C. Walke,Test Flr,4
4334,04/30/15,27S85ALM/B,A-10679-041715,1514,B. Barry,Burn In,176
4336,05/04/15,R1082 GEN.CA3130AT/B,Job 10583-042715,1510,P. Hewlett,Quality,10
4337,05/04/15,LD8741A,10493-031215,1509,P. Lora,Test Flr,281
4340,05/06/15,LM106H/883,A-10228-030615,1449,C. Vitale,Test Flr,108
4342,05/07/15,AM7969-125JC,10111-100614,1437A,C. Walke,Test Flr,4
